time,buyer,seller,price,size,currency,symbol,sector,bid,ask
00:00.0,m.harding@vinvest.com,warford.benson@tibratrading.com,6802,18881,GBX,RRS.L,Basic Materials,6798,6802
00:00.2,u.abduallatif@janestreetcap.com,a.clare@sorrel.com,207.09,21568,GBX,ITV.L,Services,207.09,211.09
00:00.2,w.tuffnell@janestreetcap.com,w.hastings@bridgewater.com,348,24729,GBX,DC.L,Consumer Goods,347.74,351.75
00:00.4,a.j.johnson@johnsonandfinnemore.com,carlee.c@invensys.com,2001.95,17987,GBX,PSN.L,Industrial Goods,2001.95,2005.94
00:00.6,m.harding@vinvest.com,a.smith@fenchurchst.com,1597.79,26122,GBX,AHT.L,Services,1593.8,1597.79
00:00.6,a.j.johnson@johnsonandfinnemore.com,thistle@janestreetcap.com,1598.64,18027,GBX,PRU.L,Financial,1598.64,1602.64
00:00.7,carlee.c@invensys.com,j.newbury@citadel.com,1046.99,22072,GBX,EZJ.L,Services,1043.02,1046.99
00:00.8,rudyard.smithies@citadel.com,a.braxton@vinvest.com,227.95,26287,GBX,CNA.L,Utilities,224.98,228.98
00:00.9,m.corrigan@jlb.com,j.freeman@sorrel.com,349.01,31860,GBX,DLG.L,Financial,346.1,350.1
00:01.0,n.ainsworth@vinvest.com,a.j.johnson@johnsonandfinnemore.com,4611.7,34507,GBX,SHP.L,Healthcare,4611.7,4615.72
00:01.1,s.hedgewick@janestreetcap.com,d.bristol@moma.com,355.6,29020,GBX,DC.L,Consumer Goods,352.68,355.6
00:01.2,warford.benson@tibratrading.com,a.smith@fenchurchst.com,1338.32,15462,GBX,AAL.L,Basic Materials,1334.31,1338.32
00:01.5,t.barton@knightcapital.com,s.hedgewick@janestreetcap.com,723.48,9449,GBX,III.L,Financial,719.46,723.48
00:01.7,l.lee@moma.com,a.clare@sorrel.com,2287.31,37163,GBX,RDSA.L,Basic Materials,2287.31,2291.28
00:01.7,j.amstell@bridgewater.com,u.abduallatif@janestreetcap.com,8749.42,15532,GBX,PPB.L,Other,8746.16,8750.19
00:01.9,j.freeman@sorrel.com,m.hen@aspectcapital.com,2026.36,23059,GBX,PSN.L,Industrial Goods,2026.36,2026.36
00:02.0,carlee.c@invensys.com,w.hastings@bridgewater.com,512.45,26828,GBX,BDEV.L,Industrial Goods,512.45,516.45
00:02.0,m.hen@aspectcapital.com,m.grein@tibratrading.com,1589.72,20876,GBX,BRBY.L,Consumer Goods,1585.7,1589.72
00:02.2,locke@rochdaleassets.com,m.hen@aspectcapital.com,675.69,37763,GBX,HSBA.L,Financial,671.69,675.69
00:02.2,a.smith@fenchurchst.com,a.afzal@rochdaleassets.com,3379.33,47495,GBX,ULVR.L,Consumer Goods,3378.07,3382.12
00:02.4,j.amstell@bridgewater.com,n.a.choudhury@oxam.org,1755.62,18869,GBX,MNDI.L,Consumer Goods,1751.59,1755.62
00:02.5,m.corrigan@jlb.com,s.benson@bridgewater.com,3227.07,20607,GBX,JMAT.L,Basic Materials,3227.07,3231.04
00:02.6,l.lee@moma.com,s.chapman@jlb.com,1622.32,20720,GBX,PRU.L,Financial,1618.26,1622.32
00:02.6,j.amstell@bridgewater.com,m.harding@vinvest.com,1757.67,17180,GBX,ADM.L,Financial,1756.74,1760.74
00:02.8,locke@rochdaleassets.com,n.a.choudhury@oxam.org,214.14,38430,GBX,ITV.L,Services,210.08,214.14
00:02.8,rudyard.smithies@citadel.com,w.cromwell@aspectcapital.com,337.73,14973,GBX,GKN.L,Consumer Goods,337.73,341.71
00:02.8,n.a.choudhury@oxam.org,a.afzal@rochdaleassets.com,991.21,32420,GBX,SKY.L,Other,991.21,995.18
00:03.0,larabourne@rochdaleassets.com,k.c.cooper@aspectcapital.com,1031.41,17294,GBX,EZJ.L,Services,1031.41,1031.41
00:03.0,a.braxton@vinvest.com,u.abduallatif@janestreetcap.com,489.81,19160,GBX,IAG.L,Services,485.82,489.89
00:03.1,s.benson@bridgewater.com,s.withers@oxam.org,954.64,21529,GBX,NG.L,Utilities,950.63,954.64
00:03.4,a.braxton@vinvest.com,larabourne@rochdaleassets.com,1320.98,16995,GBX,AAL.L,Basic Materials,1320.98,1324.73
00:03.4,manimal@jlb.com,k.c.cooper@aspectcapital.com,1075.08,40269,GBX,STJ.L,Financial,1075.08,1079.03
00:03.5,tabby.dowd@janestreetcap.com,n.a.choudhury@oxam.org,1554.37,7125,GBX,SSE.L,Utilities,1550.35,1554.37
00:03.7,m.corrigan@jlb.com,thistle@janestreetcap.com,3545.52,9883,GBX,ITRK.L,Services,3541.54,3545.52
00:03.8,zach@invensys.com,u.abduallatif@janestreetcap.com,1884.81,30073,GBX,WPP.L,Services,1880.87,1884.81
00:03.9,a.clare@sorrel.com,warford.benson@tibratrading.com,2854.81,7709,GBX,CRH.L,Industrial Goods,2853.93,2857.98
00:04.0,j.amstell@bridgewater.com,n.a.choudhury@oxam.org,717.68,39738,GBX,III.L,Financial,717.68,719.01
00:04.0,m.atherton@scottishwidows.com,w.hastings@bridgewater.com,1543.21,4450,GBX,SSE.L,Utilities,1543.21,1547.23
00:04.1,tabby.dowd@janestreetcap.com,zach@invensys.com,351.45,25158,GBX,SL.L,Financial,351.45,355.47
00:04.1,w.tuffnell@janestreetcap.com,m.grein@tibratrading.com,710.88,18778,GBX,III.L,Financial,710.88,714.85
00:04.2,s.withers@oxam.org,sam.goldwing@sorrel.com,1397.63,7854,GBX,FRES.L,Basic Materials,1397.63,1401.62
00:04.3,j.amstell@bridgewater.com,m.hen@aspectcapital.com,2927.67,10483,GBX,LSE.L,Financial,2923.73,2927.67
00:04.3,w.tuffnell@janestreetcap.com,tabby.dowd@janestreetcap.com,654.88,16980,GBX,HSBA.L,Financial,654.88,658.78
00:04.3,s.chapman@jlb.com,a.smith@fenchurchst.com,3042.51,12615,GBX,SDR.L,Financial,3038.51,3042.51
00:04.4,m.hen@aspectcapital.com,w.cromwell@aspectcapital.com,674.94,21111,GBX,HSBA.L,Financial,671.79,675.79
00:04.5,j.freeman@sorrel.com,warford.benson@tibratrading.com,2210.55,12633,GBX,SVT.L,Utilities,2206.55,2210.55
00:04.9,a.clare@sorrel.com,a.braxton@vinvest.com,941.25,24221,GBX,NG.L,Utilities,941.25,941.25
00:05.2,a.m.forex@fenchurchst.com,l.lee@moma.com,580.31,25150,GBX,RSA.L,Financial,576.26,580.31
00:05.2,p.greyling@fenchurchst.com,u.farooq@tibratrading.com,2387.85,32694,GBX,RDSB.L,Basic Materials,2383.93,2387.85
00:05.2,a.j.johnson@johnsonandfinnemore.com,t.barton@knightcapital.com,207.24,13691,GBX,ITV.L,Services,207.11,211.13
00:05.2,locke@rochdaleassets.com,u.farooq@tibratrading.com,3596.98,14506,GBX,IMB.L,Consumer Goods,3596.98,3600.94
00:05.2,s.chapman@jlb.com,rudyard.smithies@citadel.com,64.48,18496,GBX,LLOY.L,Financial,64.48,68.44
00:05.4,m.atherton@scottishwidows.com,a.smith@fenchurchst.com,521.46,17457,GBX,BDEV.L,Industrial Goods,521.46,521.46
00:05.5,carlee.c@invensys.com,w.hastings@bridgewater.com,514.12,10871,GBX,CPI.L,Services,514.12,518.1
00:05.6,w.hastings@bridgewater.com,s.benson@bridgewater.com,1846.97,20800,GBX,WPP.L,Services,1846.97,1847.53
00:05.8,j.amstell@bridgewater.com,j.freeman@sorrel.com,341.56,27976,GBX,GKN.L,Consumer Goods,337.69,341.7
00:06.1,j.newbury@citadel.com,l.lee@moma.com,1522.65,15162,GBX,SMIN.L,Industrial Goods,1518.63,1522.65
00:06.3,d.bristol@moma.com,warford.benson@tibratrading.com,1885.24,24247,GBX,HIK.L,Healthcare,1883.61,1887.56
00:06.3,a.smith@fenchurchst.com,u.farooq@tibratrading.com,248.14,29339,GBX,LGEN.L,Financial,245.17,249.17
00:06.5,l.lee@moma.com,k.c.cooper@aspectcapital.com,238.97,34251,GBX,MRW.L,Consumer Goods,238.97,242.92
